date,time,r/w serial#,antenna power#0,antenna power#1,TAG No.,elapsed time,PC,EPC,CRC,RSSI,COUNT,ANT,misc.
20211208,14:24:58.116,SeleneSNum0001  ,24.0,24.0,1,1741016,3000,E280116060000204AC6AD1FD,F6EE,-66.8,3,0,N/A
20211208,14:24:58.116,SeleneSNum0001  ,24.0,24.0,2,1741021,3000,E280116060000204AC6AD0E6,6685,-65.9,3,0,N/A
20211208,14:24:58.116,SeleneSNum0001  ,24.0,24.0,3,1741039,3000,E280116060000204AC6AD1FC,E6CF,-62.4,1,0,N/A
20211208,14:24:58.167,SeleneSNum0001  ,24.0,24.0,4,1741056,3000,E280116060000204AC6AD0E6,6685,-65.1,3,0,N/A
20211208,14:24:58.167,SeleneSNum0001  ,24.0,24.0,5,1741065,3000,E280116060000204AC6AD1FC,E6CF,-63.0,3,0,N/A
20211208,14:24:58.167,SeleneSNum0001  ,24.0,24.0,6,1741072,3000,E280116060000204AC6AD1FD,F6EE,-67.9,3,0,N/A
20211208,14:24:58.230,SeleneSNum0001  ,24.0,24.0,7,1741111,3000,E280116060000204AC6AD1FD,F6EE,-64.3,3,0,N/A
20211208,14:24:58.230,SeleneSNum0001  ,24.0,24.0,8,1741115,3000,E280116060000204AC6AD1FC,E6CF,-63.0,5,0,N/A
20211208,14:24:58.230,SeleneSNum0001  ,24.0,24.0,9,1741120,3000,E280116060000204AC6AD0E6,6685,-67.9,5,0,N/A
20211208,14:24:58.299,SeleneSNum0001  ,24.0,24.0,10,1741173,3000,E280116060000204AC6AD1FD,F6EE,-65.1,5,0,N/A
20211208,14:24:58.299,SeleneSNum0001  ,24.0,24.0,11,1741189,3000,E280116060000204AC6AD1FC,E6CF,-63.0,5,0,N/A
20211208,14:24:58.299,SeleneSNum0001  ,24.0,24.0,12,1741195,3000,E280116060000204AC6AD0E6,6685,-65.9,3,0,N/A
20211208,14:24:58.368,SeleneSNum0001  ,24.0,24.0,13,1741238,3000,E280116060000204AC6AD0E6,6685,-65.9,5,0,N/A
20211208,14:24:58.368,SeleneSNum0001  ,24.0,24.0,14,1741249,3000,E280116060000204AC6AD1FD,F6EE,-66.8,5,0,N/A
20211208,14:24:58.368,SeleneSNum0001  ,24.0,24.0,15,1741260,3000,E280116060000204AC6AD1FC,E6CF,-63.0,3,0,N/A
20211208,14:24:58.432,SeleneSNum0001  ,24.0,24.0,16,1741312,3000,E280116060000204AC6AD0E6,6685,-66.8,5,0,N/A
20211208,14:24:58.432,SeleneSNum0001  ,24.0,24.0,17,1741316,3000,E280116060000204AC6AD1FC,E6CF,-61.8,5,0,N/A
20211208,14:24:58.432,SeleneSNum0001  ,24.0,24.0,18,1741321,3000,E280116060000204AC6AD1FD,F6EE,-65.1,3,0,N/A
20211208,14:24:58.499,SeleneSNum0001  ,24.0,24.0,19,1741369,3000,E280116060000204AC6AD1FD,F6EE,-65.1,7,0,N/A
20211208,14:24:58.499,SeleneSNum0001  ,24.0,24.0,20,1741380,3000,E280116060000204AC6AD1FC,E6CF,-61.8,5,0,N/A
20211208,14:24:58.499,SeleneSNum0001  ,24.0,24.0,21,1741388,3000,E280116060000204AC6AD0E6,6685,-69.7,3,0,N/A
20211208,14:24:58.568,SeleneSNum0001  ,24.0,24.0,22,1741443,3000,E280116060000204AC6AD0E6,6685,-68.4,5,0,N/A
20211208,14:24:58.568,SeleneSNum0001  ,24.0,24.0,23,1741456,3000,E280116060000204AC6AD1FC,E6CF,-62.4,3,0,N/A
20211208,14:24:58.568,SeleneSNum0001  ,24.0,24.0,24,1741460,3000,E280116060000204AC6AD1FD,F6EE,-65.1,5,0,N/A
20211208,14:24:58.632,SeleneSNum0001  ,24.0,24.0,25,1741508,3000,E280116060000204AC6AD0E6,6685,-64.3,5,0,N/A
20211208,14:24:58.632,SeleneSNum0001  ,24.0,24.0,26,1741516,3000,E280116060000204AC6AD1FC,E6CF,-61.8,5,0,N/A
20211208,14:24:58.632,SeleneSNum0001  ,24.0,24.0,27,1741529,3000,E280116060000204AC6AD1FD,F6EE,-65.9,3,0,N/A
20211208,14:24:58.684,SeleneSNum0001  ,24.0,24.0,28,1741577,3000,E280116060000204AC6AD1FD,F6EE,-65.9,3,0,N/A
20211208,14:24:58.684,SeleneSNum0001  ,24.0,24.0,29,1741583,3000,E280116060000204AC6AD0E6,6685,-69.0,3,0,N/A
20211208,14:24:58.684,SeleneSNum0001  ,24.0,24.0,30,1741587,3000,E280116060000204AC6AD1FC,E6CF,-61.8,3,0,N/A
20211208,14:24:58.752,SeleneSNum0001  ,24.0,24.0,31,1741623,3000,E280116060000204AC6AD1FD,F6EE,-66.8,5,0,N/A
20211208,14:24:58.752,SeleneSNum0001  ,24.0,24.0,32,1741631,3000,E280116060000204AC6AD0E6,6685,-66.8,5,0,N/A
20211208,14:24:58.752,SeleneSNum0001  ,24.0,24.0,33,1741636,3000,E280116060000204AC6AD1FC,E6CF,-62.4,3,0,N/A
20211208,14:24:58.815,SeleneSNum0001  ,24.0,24.0,34,1741688,3000,E280116060000204AC6AD1FC,E6CF,-63.0,7,0,N/A
20211208,14:24:58.815,SeleneSNum0001  ,24.0,24.0,35,1741707,3000,E280116060000204AC6AD0E6,6685,-65.1,3,0,N/A
20211208,14:24:58.815,SeleneSNum0001  ,24.0,24.0,36,1741714,3000,E280116060000204AC6AD1FD,F6EE,-65.9,5,0,N/A
20211208,14:24:58.884,SeleneSNum0001  ,24.0,24.0,37,1741761,3000,E280116060000204AC6AD0E6,6685,-65.9,5,0,N/A
20211208,14:24:58.884,SeleneSNum0001  ,24.0,24.0,38,1741774,3000,E280116060000204AC6AD1FC,E6CF,-62.4,3,0,N/A
20211208,14:24:58.884,SeleneSNum0001  ,24.0,24.0,39,1741778,3000,E280116060000204AC6AD1FD,F6EE,-65.9,3,0,N/A
20211208,14:24:58.953,SeleneSNum0001  ,24.0,24.0,40,1741826,3000,E280116060000204AC6AD0E6,6685,-65.9,5,0,N/A
20211208,14:24:58.953,SeleneSNum0001  ,24.0,24.0,41,1741831,3000,E280116060000204AC6AD1FD,F6EE,-65.1,5,0,N/A
20211208,14:24:58.953,SeleneSNum0001  ,24.0,24.0,42,1741839,3000,E280116060000204AC6AD1FC,E6CF,-61.8,5,0,N/A
20211208,14:24:59.016,SeleneSNum0001  ,24.0,24.0,43,1741895,3000,E280116060000204AC6AD1FD,F6EE,-65.1,5,0,N/A
20211208,14:24:59.016,SeleneSNum0001  ,24.0,24.0,44,1741903,3000,E280116060000204AC6AD1FC,E6CF,-62.4,5,0,N/A
20211208,14:24:59.016,SeleneSNum0001  ,24.0,24.0,45,1741912,3000,E280116060000204AC6AD0E6,6685,-69.0,3,0,N/A
20211208,14:24:59.084,SeleneSNum0001  ,24.0,24.0,46,1741959,3000,E280116060000204AC6AD0E6,6685,-65.9,7,0,N/A
20211208,14:24:59.084,SeleneSNum0001  ,24.0,24.0,47,1741976,3000,E280116060000204AC6AD1FD,F6EE,-66.8,5,0,N/A
20211208,14:24:59.084,SeleneSNum0001  ,24.0,24.0,48,1741984,3000,E280116060000204AC6AD1FC,E6CF,-62.4,3,0,N/A
20211208,14:24:59.153,SeleneSNum0001  ,24.0,24.0,49,1742028,3000,E280116060000204AC6AD1FC,E6CF,-61.8,7,0,N/A
20211208,14:24:59.153,SeleneSNum0001  ,24.0,24.0,50,1742046,3000,E280116060000204AC6AD0E6,6685,-66.8,3,0,N/A
20211208,14:24:59.153,SeleneSNum0001  ,24.0,24.0,51,1742058,3000,E280116060000204AC6AD1FD,F6EE,-67.9,3,0,N/A
20211208,14:24:59.216,SeleneSNum0001  ,24.0,24.0,52,1742095,3000,E280116060000204AC6AD0E6,6685,-65.9,3,0,N/A
20211208,14:24:59.216,SeleneSNum0001  ,24.0,24.0,53,1742105,3000,E280116060000204AC6AD1FD,F6EE,-65.9,5,0,N/A
20211208,14:24:59.216,SeleneSNum0001  ,24.0,24.0,54,1742128,3000,E280116060000204AC6AD1FC,E6CF,-63.0,3,0,N/A
20211208,14:24:59.285,SeleneSNum0001  ,24.0,24.0,55,1742152,3000,E280116060000204AC6AD0E6,6685,-65.1,7,0,N/A
20211208,14:24:59.285,SeleneSNum0001  ,24.0,24.0,56,1742167,3000,E280116060000204AC6AD1FD,F6EE,-65.9,3,0,N/A
20211208,14:24:59.285,SeleneSNum0001  ,24.0,24.0,57,1742171,3000,E280116060000204AC6AD1FC,E6CF,-61.8,5,0,N/A
20211208,14:24:59.354,SeleneSNum0001  ,24.0,24.0,58,1742231,3000,E280116060000204AC6AD1FD,F6EE,-66.8,7,0,N/A
20211208,14:24:59.354,SeleneSNum0001  ,24.0,24.0,59,1742240,3000,E280116060000204AC6AD0E6,6685,-65.9,3,0,N/A
20211208,14:24:59.354,SeleneSNum0001  ,24.0,24.0,60,1742245,3000,E280116060000204AC6AD1FC,E6CF,-62.4,3,0,N/A
20211208,14:24:59.416,SeleneSNum0001  ,24.0,24.0,61,1742296,3000,E280116060000204AC6AD1FC,E6CF,-61.8,7,0,N/A
20211208,14:24:59.416,SeleneSNum0001  ,24.0,24.0,62,1742305,3000,E280116060000204AC6AD0E6,6685,-65.9,1,0,N/A
20211208,14:24:59.416,SeleneSNum0001  ,24.0,24.0,63,1742324,3000,E280116060000204AC6AD1FD,F6EE,-67.9,3,0,N/A
20211208,14:24:59.486,SeleneSNum0001  ,24.0,24.0,64,1742359,3000,E280116060000204AC6AD0E6,6685,-65.9,5,0,N/A
