date,time,r/w serial#,antenna power#0,antenna power#1,TAG No.,elapsed time,PC,EPC,CRC,RSSI,COUNT,ANT,misc.
20211208,15:13:57.618,SeleneSNum0001  ,24.0,24.0,1,4693155,3000,E280116060000204AC6AD0E6,6685,-66.8,5,0,N/A
20211208,15:13:57.618,SeleneSNum0001  ,24.0,24.0,2,4693164,3000,E280116060000204AC6AD1FC,E6CF,-64.3,5,0,N/A
20211208,15:13:57.618,SeleneSNum0001  ,24.0,24.0,3,4693203,3000,E280116060000204AC6AD1FD,F6EE,-68.4,1,0,N/A
20211208,15:13:57.753,SeleneSNum0001  ,24.0,24.0,4,4693218,3000,E280116060000204AC6AD1FD,F6EE,-69.7,9,0,N/A
20211208,15:13:57.753,SeleneSNum0001  ,24.0,24.0,5,4693234,3000,E280116060000204AC6AD1FC,E6CF,-63.6,11,0,N/A
20211208,15:13:57.753,SeleneSNum0001  ,24.0,24.0,6,4693239,3000,E280116060000204AC6AD0E6,6685,-65.9,11,0,N/A
20211208,15:13:57.800,SeleneSNum0001  ,24.0,24.0,7,4693365,3000,E280116060000204AC6AD0E6,6685,-66.8,1,0,N/A
20211208,15:13:57.800,SeleneSNum0001  ,24.0,24.0,8,4693375,3000,E280116060000204AC6AD1FC,E6CF,-62.4,3,0,N/A
20211208,15:13:57.862,SeleneSNum0001  ,24.0,24.0,9,4693394,3000,E280116060000204AC6AD0E6,6685,-66.8,5,0,N/A
20211208,15:13:57.862,SeleneSNum0001  ,24.0,24.0,10,4693402,3000,E280116060000204AC6AD1FD,F6EE,-68.4,5,0,N/A
20211208,15:13:57.862,SeleneSNum0001  ,24.0,24.0,11,4693420,3000,E280116060000204AC6AD1FC,E6CF,-63.0,1,0,N/A
20211208,15:13:57.919,SeleneSNum0001  ,24.0,24.0,12,4693447,3000,E280116060000204AC6AD1FC,E6CF,-63.6,5,0,N/A
20211208,15:13:57.919,SeleneSNum0001  ,24.0,24.0,13,4693467,3000,E280116060000204AC6AD0E6,6685,-65.9,5,0,N/A
20211208,15:13:57.919,SeleneSNum0001  ,24.0,24.0,14,4693474,3000,E280116060000204AC6AD1FD,F6EE,-70.4,5,0,N/A
