date,time,r/w serial#,antenna power#0,antenna power#1,TAG No.,elapsed time,PC,EPC,CRC,RSSI,COUNT,ANT,misc.
20211208,15:01:11.031,SeleneSNum0001  ,24.0,24.0,13,3914040,3000,E280116060000204AC6AD1FC,E6CF,-71.1,5,0,N/A
20211208,15:01:11.031,SeleneSNum0001  ,24.0,24.0,14,3914046,3000,E280116060000204AC6AD1FD,F6EE,-72.9,5,0,N/A
20211208,15:01:11.100,SeleneSNum0001  ,24.0,24.0,15,3914104,3000,E280116060000204AC6AD1FD,F6EE,-73.9,3,0,N/A
20211208,15:01:11.100,SeleneSNum0001  ,24.0,24.0,16,3914108,3000,E280116060000204AC6AD1FC,E6CF,-69.0,5,0,N/A
20211208,15:01:11.154,SeleneSNum0001  ,24.0,24.0,17,3914166,3000,E280116060000204AC6AD1FC,E6CF,-69.0,3,0,N/A
20211208,15:01:11.154,SeleneSNum0001  ,24.0,24.0,18,3914178,3000,E280116060000204AC6AD1FD,F6EE,-72.9,5,0,N/A
20211208,15:01:11.216,SeleneSNum0001  ,24.0,24.0,19,3914229,3000,E280116060000204AC6AD1FC,E6CF,-72.9,5,0,N/A
20211208,15:01:11.216,SeleneSNum0001  ,24.0,24.0,20,3914235,3000,E280116060000204AC6AD1FD,F6EE,-69.7,5,0,N/A
20211208,15:01:11.285,SeleneSNum0001  ,24.0,24.0,21,3914289,3000,E280116060000204AC6AD1FD,F6EE,-72.9,3,0,N/A
20211208,15:01:11.285,SeleneSNum0001  ,24.0,24.0,22,3914296,3000,E280116060000204AC6AD1FC,E6CF,-70.4,5,0,N/A
20211208,15:01:11.338,SeleneSNum0001  ,24.0,24.0,23,3914348,3000,E280116060000204AC6AD1FC,E6CF,-70.4,5,0,N/A
20211208,15:01:11.401,SeleneSNum0001  ,24.0,24.0,24,3914402,3000,E280116060000204AC6AD1FC,E6CF,-72.9,7,0,N/A
20211208,15:01:11.470,SeleneSNum0001  ,24.0,24.0,25,3914467,3000,E280116060000204AC6AD1FC,E6CF,-69.7,7,0,N/A
20211208,15:01:11.533,SeleneSNum0001  ,24.0,24.0,26,3914533,3000,E280116060000204AC6AD1FC,E6CF,-71.9,7,0,N/A
20211208,15:01:11.601,SeleneSNum0001  ,24.0,24.0,27,3914606,3000,E280116060000204AC6AD1FC,E6CF,-71.1,7,0,N/A
20211208,15:01:11.655,SeleneSNum0001  ,24.0,24.0,28,3914666,3000,E280116060000204AC6AD1FC,E6CF,-69.7,5,0,N/A
20211208,15:01:11.720,SeleneSNum0001  ,24.0,24.0,29,3914718,3000,E280116060000204AC6AD1FC,E6CF,-72.9,7,0,N/A
20211208,15:01:11.786,SeleneSNum0001  ,24.0,24.0,30,3914782,3000,E280116060000204AC6AD1FC,E6CF,-71.9,7,0,N/A
