posture,tester,E280116060000204AC6AD0EC,E280116060000204AC6AD0E6,E280116060000204AC6AD1FE,E280116060000204AC6AD1FD,E280116060000204AC6AC8F0,E280116060000204AC6AD1FC
0,0,-68.05333333333333,-105.0,-64.96,-61.399999999999984,-62.957142857142856,-61.22857142857141
0,0,-68.10714285714285,-70.05000000000001,-65.15714285714286,-61.31333333333332,-62.92142857142857,-61.31333333333331
0,0,-67.68571428571427,-70.11666666666667,-64.39285714285714,-60.749999999999986,-62.51999999999999,-61.13333333333332
0,0,-67.25999999999998,-69.48461538461538,-64.63333333333333,-60.87692307692306,-62.57142857142857,-60.87999999999999
0,0,-67.73571428571428,-70.05,-64.72142857142856,-61.085714285714275,-62.27999999999999,-61.157142857142844
0,0,-67.53571428571426,-70.15384615384616,-64.56,-61.09999999999999,-62.51249999999998,-60.93999999999998
0,0,-68.14999999999999,-69.33076923076922,-64.46,-60.81249999999998,-62.28749999999999,-60.94374999999998
0,0,-67.52307692307691,-69.575,-64.98333333333333,-61.135714285714265,-62.75,-61.1153846153846
0,0,-67.74999999999999,-69.0375,-64.7625,-61.17499999999998,-62.32499999999999,-60.874999999999986
0,0,-67.65714285714284,-69.39999999999999,-64.65624999999999,-61.399999999999984,-62.599999999999994,-61.33333333333332
0,0,-67.4076923076923,-69.48125,-64.6,-61.399999999999984,-62.44374999999999,-61.11249999999998
0,0,-67.5153846153846,-69.95,-64.53846153846153,-61.157142857142844,-62.82857142857142,-60.933333333333316
0,0,-68.03999999999999,-69.29285714285713,-64.6875,-61.43999999999998,-63.28125,-60.993749999999984
0,0,-67.74,-69.76666666666667,-64.69333333333334,-61.81333333333331,-63.12,-60.81333333333332
0,0,-68.30666666666666,-69.20625,-65.25625,-61.749999999999986,-63.25625,-61.26666666666665
0,0,-68.49999999999999,-69.29166666666667,-64.99285714285715,-61.38461538461537,-62.65714285714285,-61.1153846153846
0,0,-67.83571428571427,-68.89999999999999,-64.4,-61.50666666666665,-63.39333333333333,-61.07333333333331
0,0,-67.42666666666665,-69.24166666666666,-65.4230769230769,-61.671428571428564,-63.35000000000001,-61.27333333333331
0,0,-67.82666666666665,-69.22666666666666,-65.71249999999999,-61.76249999999999,-62.82666666666667,-61.23749999999998
0,0,-66.68461538461537,-69.75,-64.56923076923077,-60.42857142857141,-62.44999999999999,-61.66666666666665
0,0,-67.87142857142855,-68.95833333333333,-65.05333333333334,-61.62857142857141,-63.4,-61.573333333333316
0,0,-68.00666666666666,-68.58749999999999,-65.39333333333335,-61.88749999999998,-63.05,-61.218749999999986
0,0,-67.97857142857143,-68.26153846153845,-65.10666666666665,-62.039999999999985,-62.82857142857143,-60.80666666666664
0,0,-68.11538461538461,-68.68571428571428,-65.19285714285714,-61.938461538461524,-62.9076923076923,-61.133333333333326
0,0,-67.69999999999999,-68.63571428571429,-65.56666666666666,-61.97499999999998,-62.76666666666666,-61.26666666666665
0,0,-68.10714285714285,-67.89999999999998,-65.10625,-61.79999999999999,-62.78125,-60.87499999999998
0,0,-67.89999999999999,-68.33999999999999,-65.20666666666666,-61.853333333333325,-62.839999999999996,-60.814285714285695
0,0,-68.1923076923077,-67.80999999999999,-65.35384615384615,-61.8153846153846,-62.584615384615375,-60.96153846153845
0,0,-68.63333333333334,-68.06666666666666,-65.01249999999999,-61.86249999999998,-62.93333333333333,-61.17499999999998
0,0,-68.34615384615384,-68.55384615384615,-65.0625,-61.93333333333331,-62.77499999999999,-60.933333333333316
0,0,-68.11999999999999,-68.91538461538461,-65.49333333333333,-61.693333333333314,-62.749999999999986,-61.11874999999998
0,0,-67.74545454545454,-68.2076923076923,-65.28571428571428,-62.076923076923066,-62.57142857142856,-61.04999999999999
0,0,-67.24666666666664,-68.03846153846152,-65.22,-61.66249999999999,-62.51874999999999,-60.95714285714284
0,0,-67.71999999999998,-67.87499999999999,-64.93076923076923,-61.87999999999998,-62.76923076923076,-60.88666666666665
0,0,-67.77142857142857,-68.64666666666668,-65.38124999999998,-61.5142857142857,-62.806666666666665,-60.87499999999998
0,0,-67.36153846153844,-68.43076923076923,-65.33571428571429,-61.33333333333332,-62.66874999999999,-60.933333333333316
0,0,-67.57857142857142,-69.14615384615384,-64.91999999999999,-61.615384615384606,-62.64666666666666,-60.639999999999986
0,0,-67.87142857142855,-68.50769230769231,-65.33999999999999,-61.57333333333331,-62.37333333333333,-60.75624999999998
0,0,-67.57857142857141,-68.17999999999998,-65.31249999999999,-61.26666666666665,-62.28749999999999,-61.00666666666665
0,0,-67.12499999999999,-68.52666666666666,-64.99333333333333,-61.26666666666665,-62.09999999999999,-60.939999999999976
0,0,-67.32307692307691,-69.06153846153846,-65.23333333333332,-61.47999999999998,-62.48571428571428,-60.746666666666655
0,0,-67.47142857142856,-68.10714285714285,-65.31666666666666,-61.37857142857142,-62.52666666666666,-60.80666666666664
0,0,-67.32666666666665,-68.08666666666666,-64.61249999999998,-61.33333333333332,-62.249999999999986,-60.468749999999986
0,0,-67.43076923076923,-68.53333333333333,-64.7642857142857,-61.30833333333333,-61.938461538461524,-60.8076923076923
0,0,-67.73333333333332,-68.55625,-65.11874999999999,-61.23571428571427,-62.249999999999986,-60.74999999999998
0,0,-68.17999999999999,-68.84285714285713,-65.3125,-61.306249999999984,-62.22499999999999,-60.95714285714284
0,0,-67.45999999999998,-68.26923076923077,-64.79333333333334,-61.37857142857141,-62.54999999999999,-61.11249999999998
0,0,-67.18333333333332,-68.49999999999999,-65.22857142857143,-61.742857142857126,-62.69999999999999,-61.308333333333316
0,0,-68.09374999999999,-68.52857142857142,-65.32307692307694,-61.181249999999984,-62.28749999999999,-60.94374999999998
0,0,-67.92666666666665,-68.8,-65.42666666666666,-61.13333333333332,-62.27999999999999,-61.399999999999984
0,0,-67.43571428571427,-67.84,-65.33571428571429,-61.466666666666654,-62.48571428571428,-61.26923076923075
0,0,-67.6,-68.30769230769229,-65.39999999999999,-61.5142857142857,-62.55999999999999,-61.157142857142844
0,0,-68.05714285714285,-68.40666666666667,-65.36428571428571,-61.13333333333332,-62.09999999999999,-60.87999999999998
0,0,-67.36666666666666,-68.71428571428571,-65.49333333333333,-61.37333333333332,-62.27142857142856,-61.113333333333316
0,0,-68.00625,-68.675,-65.3875,-61.306249999999984,-62.36249999999998,-60.69374999999998
0,0,-67.99230769230768,-68.85833333333333,-65.40714285714286,-61.29999999999999,-62.57142857142856,-60.94285714285713
0,0,-67.98666666666665,-69.00666666666667,-65.38,-61.399999999999984,-62.399999999999984,-61.342857142857135
0,0,-68.72142857142856,-68.34285714285714,-65.68571428571428,-61.506666666666646,-62.614285714285714,-61.06666666666665
0,0,-67.85333333333332,-68.47999999999999,-65.05624999999999,-61.11249999999998,-62.474999999999994,-61.124999999999986
0,0,-67.15384615384615,-68.05384615384615,-65.23571428571428,-61.62857142857142,-62.11999999999999,-60.95714285714284
0,0,-67.92666666666665,-68.47692307692307,-65.48666666666665,-61.50666666666665,-62.65714285714285,-60.98666666666665
0,0,-67.64999999999999,-68.77692307692308,-65.00666666666666,-61.27333333333332,-62.27999999999999,-61.19230769230767
0,0,-67.88461538461537,-68.21875,-65.33333333333331,-61.00666666666665,-62.287499999999994,-60.99333333333332
0,0,-67.8,-68.96428571428571,-65.22142857142856,-60.999999999999986,-62.359999999999985,-61.085714285714275
0,0,-67.8,-68.63846153846154,-64.92857142857142,-61.466666666666654,-62.39999999999999,-61.13333333333332
0,0,-67.8642857142857,-68.42,-65.48666666666666,-61.44666666666665,-62.39999999999999,-61.33333333333332
0,0,-67.54999999999998,-68.66428571428571,-65.77333333333333,-61.57333333333331,-62.27142857142856,-61.49999999999999
0,0,-67.99230769230768,-68.94285714285715,-65.34285714285714,-61.485714285714266,-62.39999999999999,-61.33333333333332
0,0,-68.04285714285713,-69.05714285714285,-65.45,-61.530769230769224,-62.44285714285713,-60.8142857142857
0,0,-67.69285714285714,-68.71428571428571,-65.60624999999999,-61.74666666666665,-62.43999999999998,-61.17499999999998
0,0,-68.02857142857142,-68.92142857142856,-65.28666666666666,-61.206666666666656,-62.39999999999999,-61.13333333333332
0,0,-68.0076923076923,-68.85,-65.2125,-61.81249999999998,-62.37333333333332,-60.87333333333332
0,0,-67.77692307692308,-68.96000000000001,-65.41249999999998,-61.23999999999998,-62.47999999999999,-61.04615384615383
0,0,-67.66923076923075,-69.08461538461538,-65.75384615384614,-61.56923076923076,-62.16923076923076,-60.969230769230755
0,0,-67.57499999999999,-69.19333333333334,-65.05333333333333,-61.71249999999998,-62.09999999999999,-60.87499999999998
0,0,-67.74999999999999,-69.28571428571429,-65.50666666666667,-61.19230769230767,-62.19999999999999,-61.03846153846153
0,0,-68.21999999999998,-68.7,-65.22666666666666,-61.37142857142856,-62.27999999999998,-60.88666666666665
0,0,-67.95,-69.13571428571429,-65.57142857142856,-61.40666666666665,-62.66249999999999,-60.88124999999998
0,0,-67.54166666666664,-68.88461538461539,-65.48666666666666,-61.639999999999986,-62.27999999999999,-61.073333333333316
0,0,-67.79230769230767,-69.07692307692308,-65.27857142857142,-61.55714285714284,-62.407692307692294,-61.26153846153845
0,0,-67.61666666666666,-68.73333333333333,-65.64666666666666,-61.47333333333332,-62.35999999999999,-60.75333333333332
0,0,-67.50714285714284,-68.86428571428571,-65.38571428571427,-61.461538461538446,-62.3142857142857,-60.95384615384614
0,0,-67.27999999999999,-68.44,-65.11333333333333,-61.399999999999984,-62.287499999999994,-60.993749999999984
0,0,-67.62499999999999,-67.96428571428571,-65.53846153846153,-61.50909090909091,-62.17142857142856,-61.29999999999999
0,0,-67.75714285714284,-68.6076923076923,-65.14666666666668,-61.47999999999999,-62.39999999999999,-60.70624999999998
